discriminator_loss_results,discriminator_accuracy_results,adversarial_loss_results,adversarial_accuracy_results
0.47156524658203125,0.5,0.05134138837456703,1
0.471274197101593,0.47265625,1.1568663120269775,0
0.2843018174171448,0.5,0.5677574872970581,0
0.10499797761440277,0.8408203125,0.08939109742641449,1
0.051781222224235535,0.9951171875,0.664157509803772,0
0.052733149379491806,0.9609375,0.12628692388534546,1
0.02825840190052986,0.99609375,0.37458541989326477,0
0.034036487340927124,0.984375,0.055774517357349396,1
0.029354101046919823,0.99609375,0.24393637478351593,0.69921875
0.029089871793985367,0.9921875,0.010653459466993809,1
0.030810657888650894,0.998046875,0.27884483337402344,0.01171875
0.03933311253786087,0.990234375,3.9284495869651437e-4,1
0.0313577763736248,0.998046875,0.23561149835586548,0.84765625
0.03913985565304756,0.9873046875,0.001212617731653154,1
0.023855429142713547,1,0.13845442235469818,1
0.028109796345233917,0.9912109375,0.005829865112900734,1
0.024202954024076462,1,0.14938600361347198,1
0.03339812904596329,0.9892578125,0.027546748518943787,1
0.026235589757561684,1,0.1745111644268036,1
0.037049539387226105,0.9853515625,0.018111664801836014,1
0.027572905644774437,1,0.16019277274608612,1
0.035952623933553696,0.9931640625,0.02879456616938114,1
0.023679323494434357,1,0.144166499376297,1
0.033444203436374664,0.9912109375,0.02426375262439251,1
0.021870145574212074,0.9990234375,0.10966558009386063,1
0.02639777399599552,0.99609375,0.026498019695281982,1
0.02093779481947422,1,0.11614138633012772,1
0.0318160243332386,0.994140625,0.05282863602042198,1
0.025198843330144882,1,0.12837451696395874,1
0.03616645187139511,0.99609375,0.04505939781665802,1
0.02276625856757164,1,0.12634974718093872,1
0.035576481372117996,0.9951171875,0.04799953103065491,1
0.022660035640001297,1,0.116632841527462,1
0.03346832096576691,0.99609375,0.04438391327857971,1
0.020840341225266457,1,0.11511658877134323,1
0.031131673604249954,1,0.032891690731048584,1
0.017547953873872757,1,0.08017987012863159,1
0.02485666051506996,0.9990234375,0.045154280960559845,1
0.017270904034376144,1,0.07208636403083801,1
0.023285146802663803,0.9990234375,0.046851739287376404,1
0.018753455951809883,1,0.09749896824359894,1
0.029984183609485626,0.9970703125,0.05972810834646225,1
0.019858678802847862,1,0.10471588373184204,1
0.031061818823218346,1,0.053352661430835724,1
0.017925802618265152,1,0.090015709400177,1
0.026196463033556938,0.99609375,0.0430578850209713,1
0.016256049275398254,1,0.07281588017940521,1
0.02295425534248352,1,0.05138756334781647,1
0.016573050990700722,1,0.08367684483528137,1
0.02598477527499199,1,0.05646812543272972,1
0.017267562448978424,1,0.09020373970270157,1
0.026477139443159103,0.9990234375,0.05138145387172699,1
0.015933863818645477,1,0.07865679264068604,1
0.02407132089138031,0.9990234375,0.046354688704013824,1
0.015989819541573524,1,0.08172151446342468,1
0.025181155651807785,1,0.047434836626052856,1
0.016664370894432068,1,0.0860217735171318,1
0.025064200162887573,1,0.038273558020591736,1
0.014321526512503624,1,0.0733816921710968,1
0.021433237940073013,1,0.03643644601106644,1
