discriminator_loss_results,discriminator_accuracy_results,adversarial_loss_results,adversarial_accuracy_results
0.6884790658950806,0.64453125,1.2383936643600464,0
0.5715093612670898,0.6611328125,1.625868320465088,0
0.43139156699180603,0.921875,1.3730274438858032,0
0.2814957797527313,0.9990234375,2.9992270469665527,0
0.21327361464500427,0.9619140625,0.44542959332466125,1
0.27870047092437744,1,3.5378103256225586,0
0.16698198020458221,0.9658203125,2.288210153579712,0
0.08072740584611893,0.9970703125,1.783769130706787,0
0.05758717283606529,0.9970703125,1.4104042053222656,0
0.04053708538413048,1,1.1359914541244507,0
0.03159508854150772,1,0.8914146423339844,0
0.026957392692565918,1,0.6692691445350647,0.65625
0.01872546225786209,1,0.5202668309211731,0.98828125
0.01827746257185936,1,0.3225696086883545,1
0.014707198366522789,1,0.2108314484357834,1
0.013661828823387623,1,0.12795306742191315,1
0.010477366857230663,1,0.09451554715633392,1
0.009793290868401527,1,0.0648297518491745,1
0.008245687931776047,1,0.049731068313121796,1
0.007269646041095257,1,0.03976605460047722,1
0.006253164727240801,1,0.033771853893995285,1
0.005734988022595644,1,0.026273945346474648,1
0.005305622238665819,1,0.022088753059506416,1
0.00407174089923501,1,0.020866505801677704,1
0.004081576596945524,1,0.01702747493982315,1
0.0035139056853950024,1,0.014654451981186867,1
0.0031527935061603785,1,0.012999681755900383,1
0.0029160440899431705,1,0.011280052363872528,1
0.0023570817429572344,1,0.010422438383102417,1
0.0023282095789909363,1,0.008914295583963394,1
0.0019999626092612743,1,0.008324852213263512,1
0.0018242449732497334,1,0.007737475447356701,1
0.0015496034175157547,1,0.007186710834503174,1
0.0014495099894702435,1,0.006649824790656567,1
0.0013853013515472412,1,0.006011011078953743,1
0.0011654868721961975,1,0.0055379681289196014,1
0.0011902360711246729,1,0.004810134414583445,1
0.0010035154409706593,1,0.0047300346195697784,1
0.001045300392434001,1,0.004100053105503321,1
9.931226959452033e-4,1,0.0036722193472087383,1
7.711416110396385e-4,1,0.0037399660795927048,1
7.648593746125698e-4,1,0.0034007804933935404,1
8.986885077320039e-4,1,0.0027423975989222527,1
6.974089192226529e-4,1,0.0026456182822585106,1
6.367701571434736e-4,1,0.002425478771328926,1
5.63913257792592e-4,1,0.0023046645801514387,1
5.699401954188943e-4,1,0.00202709948644042,1
4.393968265503645e-4,1,0.002249806420877576,1
5.596528644673526e-4,1,0.0018076245905831456,1
3.877293784171343e-4,1,0.0019287227187305689,1
3.8504067924804986e-4,1,0.0018321718089282513,1
3.7031571264378726e-4,1,0.001674547092989087,1
2.8647197177633643e-4,1,0.0018369153840467334,1
2.8148115961812437e-4,1,0.001720033003948629,1
3.5529054002836347e-4,1,0.0012737697688862681,1
3.1290893093682826e-4,1,0.001093427068553865,1
2.4486289476044476e-4,1,0.001232106820680201,1
2.061009727185592e-4,1,0.0013628628803417087,1
2.1346872381400317e-4,1,0.0012645021779462695,1
1.8667176482267678e-4,1,0.001299576018936932,1
1.9763430464081466e-4,1,0.0011161289876326919,1
1.4835337060503662e-4,1,0.0012132955016568303,1
1.6165188571903855e-4,1,0.001040531788021326,1
1.6932931612245739e-4,1,9.553302661515772e-4,1
