discriminator_loss_results,discriminator_accuracy_results,adversarial_loss_results,adversarial_accuracy_results
0.6940861344337463,0.2802734375,0.9603894948959351,0
0.6098322868347168,0.5283203125,1.1748287677764893,0
0.4882342219352722,0.9228515625,1.1275160312652588,0
0.33615642786026,0.9990234375,0.8400682210922241,0
0.1889045238494873,1,1.3768811225891113,0
0.1181282326579094,1,0.01894114352762699,1
0.4378432631492615,0.5,3.0841166973114014,0
0.19293212890625,0.955078125,1.3578234910964966,0
0.0760093629360199,0.998046875,0.8355199098587036,0
0.05126733332872391,1,0.5515127182006836,1
0.040763456374406815,1,0.3689749836921692,1
0.03369391709566116,1,0.24579165875911713,1
0.02710132673382759,1,0.18656641244888306,1
0.023816393688321114,1,0.1445789337158203,1
0.01997847482562065,1,0.11795220524072647,1
0.018335070461034775,1,0.09675628691911697,1
0.016269830986857414,1,0.0792025625705719,1
0.014530770480632782,1,0.06606817990541458,1
0.013059187680482864,1,0.0556766614317894,1
0.011495026759803295,1,0.048585839569568634,1
0.01005676481872797,1,0.04304477572441101,1
0.009830646216869354,1,0.03678327798843384,1
0.008815404959022999,1,0.031545739620923996,1
0.006853876635432243,1,0.03006686270236969,1
0.007146002259105444,1,0.02577493153512478,1
0.006349802948534489,1,0.022852342575788498,1
0.005605223122984171,1,0.020972423255443573,1
0.0050253416411578655,1,0.018798450008034706,1
0.004548992030322552,1,0.017569826915860176,1
0.004357707221060991,1,0.015498023480176926,1
0.003925749100744724,1,0.013721716590225697,1
0.003520941361784935,1,0.012507187202572823,1
0.003402226371690631,1,0.011330847628414631,1
0.003530678804963827,1,0.009383677504956722,1
0.0025942870415747166,1,0.009190061129629612,1
0.002812780439853668,1,0.007840019650757313,1
0.0025316826067864895,1,0.007085196673870087,1
0.002106305444613099,1,0.006874531973153353,1
0.001847301609814167,1,0.0065802354365587234,1
0.0019748066551983356,1,0.005890102591365576,1
0.0016445857472717762,1,0.005537850316613913,1
0.001798973768018186,1,0.004595058038830757,1
0.0015764296986162663,1,0.004269348457455635,1
0.0012953145196661353,1,0.004174903966486454,1
0.001409840420819819,1,0.003606487065553665,1
0.0013419619062915444,1,0.0031422972679138184,1
0.0010040955385193229,1,0.003354645799845457,1
0.0010917824693024158,1,0.0029518213123083115,1
0.0010172908660024405,1,0.002604544861242175,1
8.772450382821262e-4,1,0.002542592119425535,1
8.317663450725377e-4,1,0.0024096714332699776,1
8.631806122139096e-4,1,0.002077298704534769,1
7.415894069708884e-4,1,0.0019783014431595802,1
6.18269550614059e-4,1,0.0021101871971040964,1
6.47082575596869e-4,1,0.0019276044331490993,1
6.774678477086127e-4,1,0.0016165850684046745,1
5.516642704606056e-4,1,0.0015974333509802818,1
5.602043820545077e-4,1,0.0014157420955598354,1
4.8600774607621133e-4,1,0.0013815213460475206,1
4.830120597034693e-4,1,0.0013006728840991855,1
4.417648888193071e-4,1,0.0012030024081468582,1
4.275096580386162e-4,1,0.0010912182042375207,1
4.057830083183944e-4,1,9.571447153575718e-4,1
3.590246196836233e-4,1,9.659133502282202e-4,1
3.4356594551354647e-4,1,9.712377213872969e-4,1
2.902710984926671e-4,1,0.0010001242626458406,1
3.0509213684126735e-4,1,8.519522962160408e-4,1
